10000 129216
20000 278432
30000 439008
40000 596864
50000 765024
60000 938016
70000 1110400
80000 1273728
90000 1447360
100000 1630048
110000 1806112
120000 1996032
130000 2202368
140000 2360800
150000 2528448
160000 2707456
170000 2885824
180000 3074720
190000 3264832
200000 3460096
210000 3640576
220000 3832224
230000 4039776
240000 4232064
250000 4442496
260000 4664736
270000 4834752
280000 5001600
290000 5176864
300000 5356896
310000 5542016
320000 5734912
330000 5932736
340000 6111648
350000 6301088
360000 6509440
370000 6700960
380000 6909664
390000 7129568
400000 7320192
410000 7509600
420000 7701152
430000 7903360
440000 8104448
450000 8317184
460000 8539552
470000 8734304
480000 8944128
490000 9168704
500000 9384992
